frame, time,Link2: EndX (m),Joint1: JointValue (degree),Joint2: JointValue (degree),
1,0,0.799999811479572,-29.2776,70.5288,
2,0.01,0.800004229458727,-29.277030125081,70.5278720613802,
3,0.02,0.800035132930824,-29.2730436996432,70.521380885869,
4,0.03,0.800118890447578,-29.262237656732,70.5037851921296,
5,0.04,0.800281621637847,-29.2412358433073,70.4695875232853,
6,0.05,0.800549048220196,-29.2067023443771,70.4133559428705,
7,0.06,0.800946329322402,-29.1553546483301,70.3297454722022,
8,0.07,0.801497882802677,-29.0839766015095,70.213519184569,
9,0.08,0.802227194561753,-28.9894311009018,70.0595688729883,
10,0.09,0.803156618091714,-28.8686724748496,69.8629352099657,
11,0.1,0.804307166726489,-28.7187585029257,69.6188273196944,
12,0.11,0.805698301240769,-28.5368620275336,69.3226416854542,
13,0.12,0.807347715590669,-28.3202821114062,68.9699803175877,
14,0.13,0.809271123703039,-28.066454696972,68.5566681103573,
15,0.14,0.8114820503037,-27.7729627255183,68.0787693191793,
16,0.15,0.813991628830866,-27.437545676218,67.5326030932102,
17,0.16,0.816808409511068,-27.0581084873725,66.9147580019832,
18,0.17,0.819938180682795,-26.6327298246632,66.2221054987656,
19,0.18,0.823383806438826,-26.1596696637801,65.4518122675037,
20,0.19,0.827145083621647,-25.6373761575028,64.6013514046266,
21,0.2,0.83121862114586,-25.0644917601328,63.6685123915805,
22,0.21,0.835597744534605,-24.4398585851058,62.651409818735,
23,0.22,0.840272428439509,-23.7625229746412,61.5484908262341,
24,0.23,0.845229259760816,-23.0317392633937,60.3585412324242,
25,0.24,0.850451433790107,-22.2469727212534,59.0806903256749,
26,0.25,0.855918785556495,-21.4079016636818,57.7144143006793,
27,0.26,0.861607858262052,-20.5144187212534,56.2595383256749,
28,0.27,0.867492010338235,-19.5666312633937,54.7162372324242,
29,0.28,0.873541562237715,-18.5648609746412,53.0850348262341,
30,0.29,0.879723983592929,-17.5096425851059,51.366801818735,
31,0.3,0.886004120823501,-16.4017217601329,49.5627523915805,
32,0.31,0.892344464661994,-15.2420521575028,47.6744394046266,
33,0.32,0.898705456397166,-14.0317916637801,45.7037482675037,
34,0.33,0.905045830915037,-12.7722978246632,43.6528894987656,
35,0.34,0.91132299386369,-11.4651224873725,41.5243900019832,
36,0.35,0.917493429493967,-10.112005676218,39.3210830932102,
37,0.36,0.923513134954649,-8.71486872551828,37.0460973191793,
38,0.37,0.929338076069614,-7.27580669697199,34.7028441103573,
39,0.38,0.934924658919888,-5.79708011140621,32.2950043175877,
40,0.39,0.940230210920986,-4.28110602753356,29.8265136854542,
41,0.4,0.945213464550625,-2.73044850292571,27.3015473196944,
42,0.41,0.949835036468273,-1.14780847484957,24.7245032099656,
43,0.42,0.954057894497985,0.463986899098167,22.0999848729883,
44,0.43,0.957847804838165,2.10199539849049,19.432783184569,
45,0.44,0.961173751930241,3.76317135166988,16.7278574722022,
46,0.45,0.964008323671269,5.44437765562292,13.9903159428705,
47,0.46,0.966328055095333,7.14239815669271,11.2253955232853,
48,0.47,0.968113724270877,8.85395034326796,8.43844119212961,
49,0.48,0.969350594954338,10.5756983003568,5.63488488586903,
50,0.49,0.970028601486726,12.304265874919,2.82022406138017,
51,0.5,0.970142472494763,14.03625,0,
52,0.51,0.969691791132582,15.768234125081,-2.82022406138017,
53,0.52,0.968680990839911,17.4968016996432,-5.63488488586903,
54,0.53,0.967119286861853,19.2185496567321,-8.43844119212962,
55,0.54,0.965020545035956,20.9301018433073,-11.2253955232853,
56,0.55,0.962403090566925,22.6281223443771,-13.9903159428705,
57,0.56,0.959289460642405,24.3093286483301,-16.7278574722022,
58,0.57,0.955706105762738,25.9705046015095,-19.432783184569,
59,0.58,0.951683045535854,27.6085131009018,-22.0999848729883,
60,0.59,0.947253485403765,29.2203084748496,-24.7245032099656,
61,0.6,0.942453401304223,30.8029485029257,-27.3015473196944,
62,0.61,0.937321099621444,32.3536060275336,-29.8265136854542,
63,0.62,0.931896759941991,33.8695801114062,-32.2950043175877,
64,0.63,0.926221968111025,35.348306696972,-34.7028441103573,
65,0.64,0.920339246891638,36.7873687255183,-37.0460973191793,
66,0.65,0.914291591182229,38.184505676218,-39.3210830932102,
67,0.66,0.908122014264913,39.5376224873725,-41.5243900019832,
68,0.67,0.901873110965549,40.8447978246632,-43.6528894987656,
69,0.68,0.895586642929023,42.1042916637801,-45.7037482675037,
70,0.69,0.889303150478317,43.3145521575029,-47.6744394046266,
71,0.7,0.883061594758629,44.4742217601329,-49.5627523915805,
72,0.71,0.87689903309286,45.5821425851058,-51.366801818735,
73,0.72,0.870850329714088,46.6373609746412,-53.0850348262341,
74,0.73,0.864947903313377,47.6391312633937,-54.7162372324242,
75,0.74,0.859221512162711,48.5869187212534,-56.2595383256749,
76,0.75,0.853698076954909,49.4804016636818,-57.7144143006793,
77,0.76,0.84840154095277,50.3194727212534,-59.0806903256749,
78,0.77,0.843352766562805,51.1042392633937,-60.3585412324243,
79,0.78,0.838569467045431,51.8350229746413,-61.5484908262341,
80,0.79,0.834066171741443,52.5123585851059,-62.651409818735,
81,0.8,0.829854222929275,53.1369917601329,-63.6685123915805,
82,0.81,0.825941802222686,53.7098761575029,-64.6013514046266,
83,0.82,0.822333984266381,54.2321696637801,-65.4518122675037,
84,0.83,0.819032815379375,54.7052298246632,-66.2221054987656,
85,0.84,0.816037414724281,55.1306084873725,-66.9147580019831,
86,0.85,0.813344095537171,55.510045676218,-67.5326030932102,
87,0.86,0.810946503930079,55.8454627255183,-68.0787693191793,
88,0.87,0.808835772770738,56.138954696972,-68.5566681103573,
89,0.88,0.807000688147244,56.3927821114062,-68.9699803175877,
90,0.89,0.805427865936083,56.6093620275336,-69.3226416854542,
91,0.9,0.804101936009104,56.7912585029257,-69.6188273196945,
92,0.91,0.803005731638733,56.9411724748496,-69.8629352099656,
93,0.92,0.802120481692641,57.0619311009018,-70.0595688729883,
94,0.93,0.801426003251951,57.1564766015095,-70.213519184569,
95,0.94,0.800900892344518,57.2278546483301,-70.3297454722022,
96,0.95,0.800522710560967,57.2792023443771,-70.4133559428705,
97,0.96,0.800268165420356,57.3137358433073,-70.4695875232853,
98,0.97,0.800113282478563,57.3347376567321,-70.5037851921296,
99,0.98,0.800033567329413,57.3455436996432,-70.521380885869,
100,0.99,0.800004155838661,57.349530125081,-70.5278720613802,
101,1,0.799999951175861,57.3501,-70.5288,
